initials;full-name;action-object;description
MF;Mrs. Featherby;;DuckTales
MH;Mrs. Hasagawa;;Lilo & Stitch
MJ;Mrs. Judson;;The Great Mouse Detective
MJ;Mrs. Jumbo;;Dumbo
MO;Mrs. Otterton;;Zootopia
NP;Mrs. Possum;;Bambi
MP;Mrs. Potts;;Beauty and the Beast
MQ;Mrs. Quail;;Bambi
M;Mufasa;;The Lion King
M;Mulan;;Mulan
M;Mungo;;Tarzan
M;Mushu;;Mulan
ME;Myrtle Edmonds;;Lilo & Stitch
N;Nakoma;;Pocahontas
N;Nala;;The Lion King
N;Nana;;Peter Pan
NT;Nancy Tremaine;;Enchanted
NP;Nani Pelekai;;Lilo & Stitch
N;Nanny;;One Hundred and One Dalmatians
NB;Napoleon the Bloodhound;;The Aristocats
N;Nasira;;Aladdin in Nasira's Revenge
N;Nathaniel;;Enchanted
N;Natives;;Timon and Pumbaa
NB;Ned the Baboon;;Jungle Cubs
N;Neera;;Dinosaur
N;NegaDuck;;Darkwing Duck
N;Nessus;;Hercules
N;Nibs;;Peter Pan
NW;Nicholas "Nick" P. Wilde;;Zootopia
N;Nita;;Brother Bear 2
N;Nuka;;The Lion King II: Simba's Pride
NM;Nurse Mouse;;The Rescuers Down Under
NV;Nutsy the Vulture;;Robin Hood
O;Oaken;;Frozen
TO;The Octopus;;Return to Never Land
O;Olaf;;Frozen
O;Oliver;;Oliver & Company
OF;Olivia Flaversham;;The Great Mouse Detective
OP;Ollie the Pig;;Home on the Range
O;Onus;;Treasure Planet
O;Orddu;;The Black Cauldron
O;Orgoch;;The Black Cauldron
O;Orville;;The Rescuers
O;Orwen;;The Black Cauldron
O;Oswald the Lucky Rabbit;;Trolley Troubles
O;Otto;;Robin Hood
O;Owl;;Winnie the Pooh and the Honey Tree
P;Pacha;;The Emperor's New Groove
PP;Pain and Panic;;Hercules
PP;Panchito Pistoles;;The Three Caballeros
P;Pascal;;Tangled
P;Patch;;One Hundred and One Dalmatians
PG;Pearl Gesner;;Home on the Range
P;Peg;;Lady and the Tramp
PP;Peg Pete;;Goof Troop
P;Pegasus;;Hercules
PM;Penny's Mom;;Bolt
P;Penny;;One Hundred and One Dalmatians
P;Penny;;The Rescuers
P;Penny;;Bolt
PP;Pepper Ann Pearson;;Pepper Ann
P;Peppo the Italian Cat;;The Aristocats
PM;Percival C. McLeach;;The Rescuers Down Under
P;Percy;;Pocahontas
P;Perdita;;101 Dalmatians
P;Periwinkle;;Secret of the Wings
P;Pete;;Alice Solves the Puzzle
PJ;Pete Junior;;Goof Troop
PP;Peter Pan;;Peter Pan
PP;Peter Pig;;The Wise Little Hen
PB;The Phantom Blot;;DuckTales
P;Philoctetes;;Hercules
PH;Philippe the Horse;;Beauty and the Beast
P;Piglet;;Winnie the Pooh and the Blustery Day
P;Pinocchio;;Pinocchio
P;Pip;;Enchanted
PP;Pistol Pete;;Goof Troop
P;Plio;;Dinosaur
P;Pluto;;The Chain Gang
P;Pocahontas;;Pocahontas
PS;Poe De Spell;;DuckTales
PP;Pom-Pom;;Cinderella II: Dreams Come True
P;Pongo;;101 Dalmatians
P;Powerline;;A Goofy Movie
PP;Practical Pig;;Three Little Pigs
PW;Preston B. Whitmore;;Atlantis: The Lost Empire
PF;Prince Ferdinand;;Snow White and the Seven Dwarfs
PC;Prince Charming;;Cinderella
PE;Prince Edward;;Enchanted
PE;Prince Eric;;The Little Mermaid
PH;Prince Hans;;Frozen
PJ;Prince James;;Sofia the First
PJ;Prince John;;Robin Hood
PN;Prince Naveen;;The Princess and the Frog
PP;Prince Phillip;;Sleeping Beauty
P;Princess;;One Hundred and One Dalmatians
PQ;Princess Amber;;Sofia the First
